ID_USUARIO NOMBRE_APELLIDOS EMAL CARGO AÑO MES SALARIO CANTIDAD DE LLAMADAS
9 MARCOS DOS SANTOS THJ@GMAIL.COM ASESOR VENTAS 2022 enero 1200000 46
9 MARCOS DOS SANTOS THJ@GMAIL.COM ASESOR VENTAS 2022 febrero 1200000 49
9 MARCOS DOS SANTOS THJ@GMAIL.COM ASESOR VENTAS 2022 marzo 1200000 57
9 MARCOS DOS SANTOS THJ@GMAIL.COM ASESOR VENTAS 2022 abril 1200000 53
9 MARCOS DOS SANTOS THJ@GMAIL.COM ASESOR VENTAS 2022 mayo 1200000 55
9 MARCOS DOS SANTOS THJ@GMAIL.COM ASESOR VENTAS 2022 junio 1200000 72
9 MARCOS DOS SANTOS THJ@GMAIL.COM ASESOR VENTAS 2022 julio 1200000 98
9 MARCOS DOS SANTOS THJ@GMAIL.COM ASESOR VENTAS 2022 agosto 1200000 238
9 MARCOS DOS SANTOS THJ@GMAIL.COM ASESOR VENTAS 2022 septiembre 1200000 64
9 MARCOS DOS SANTOS THJ@GMAIL.COM ASESOR VENTAS 2022 octubre 1200000 50
9 MARCOS DOS SANTOS THJ@GMAIL.COM ASESOR VENTAS 2022 noviembre 1200000 51
9 MARCOS DOS SANTOS THJ@GMAIL.COM ASESOR VENTAS 2022 diciembre 1200000 53
